genres,original_language,original_title,release_date,title,video,procced_genres,id_p
"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,Blade Runner,1982-06-25,Blade Runner,False,[ { 'id ' 878 'name ' 'scienc fiction ' } { 'id ' 18 'name ' 'drama ' } { 'id ' 53 'name ' 'thriller ' } ],11
"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,Home Alone,1990-11-09,Home Alone,False,[ { 'id ' 35 'name ' 'comedi ' } { 'id ' 10751 'name ' 'famili ' } ],12
"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",en,Aladdin,1992-11-25,Aladdin,False,[ { 'id ' 16 'name ' 'anim ' } { 'id ' 10751 'name ' 'famili ' } { 'id ' 35 'name ' 'comedi ' } { 'id ' 12 'name ' 'adventur ' } { 'id ' 14 'name ' 'fantasi ' } { 'id ' 10749 'name ' 'romanc ' } ],13
"[{'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}]",en,Beauty and the Beast,1991-11-13,Beauty and the Beast,False,[ { 'id ' 10749 'name ' 'romanc ' } { 'id ' 10751 'name ' 'famili ' } { 'id ' 16 'name ' 'anim ' } { 'id ' 14 'name ' 'fantasi ' } { 'id ' 10402 'name ' 'music ' } ],14
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,Mission: Impossible,1996-05-22,Mission: Impossible,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } ],15
"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}]",en,A Close Shave,1995-12-24,A Close Shave,False,[ { 'id ' 10751 'name ' 'famili ' } { 'id ' 16 'name ' 'anim ' } { 'id ' 35 'name ' 'comedi ' } ],16
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",wo,Touki-Bouki,1973-07-01,Touki Bouki,False,[ { 'id ' 18 'name ' 'drama ' } { 'id ' 10749 'name ' 'romanc ' } ],17
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,Trainspotting,1996-02-23,Trainspotting,False,[ { 'id ' 18 'name ' 'drama ' } { 'id ' 80 'name ' 'crime ' } ],18
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,Escape from L.A.,1996-08-09,Escape from L.A.,False,[ { 'id ' 28 'name ' 'action ' } { 'id ' 12 'name ' 'adventur ' } { 'id ' 878 'name ' 'scienc fiction ' } { 'id ' 53 'name ' 'thriller ' } ],19
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,The Godfather,1972-03-14,The Godfather,False,[ { 'id ' 18 'name ' 'drama ' } { 'id ' 80 'name ' 'crime ' } ],20
"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 10749, 'name': 'Romance'}]",en,Cinderella,1950-03-04,Cinderella,False,[ { 'id ' 10751 'name ' 'famili ' } { 'id ' 14 'name ' 'fantasi ' } { 'id ' 16 'name ' 'anim ' } { 'id ' 10749 'name ' 'romanc ' } ],21
"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,The Fox and the Hound,1981-07-10,The Fox and the Hound,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 16 'name ' 'anim ' } { 'id ' 18 'name ' 'drama ' } { 'id ' 10751 'name ' 'famili ' } ],22
"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",en,Aladdin and the King of Thieves,1996-05-20,Aladdin and the King of Thieves,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 16 'name ' 'anim ' } { 'id ' 10751 'name ' 'famili ' } ],23
"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",en,Dirty Dancing,1987-08-21,Dirty Dancing,False,[ { 'id ' 18 'name ' 'drama ' } { 'id ' 10402 'name ' 'music ' } { 'id ' 10749 'name ' 'romanc ' } ],24
"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",en,Basic Instinct,1992-03-20,Basic Instinct,False,[ { 'id ' 53 'name ' 'thriller ' } { 'id ' 9648 'name ' 'mysteri ' } ],25
"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",en,Escape from New York,1981-05-22,Escape from New York,False,[ { 'id ' 878 'name ' 'scienc fiction ' } { 'id ' 28 'name ' 'action ' } ],26
"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,The Wrong Trousers,1993-12-17,The Wrong Trousers,False,[ { 'id ' 16 'name ' 'anim ' } { 'id ' 35 'name ' 'comedi ' } { 'id ' 10751 'name ' 'famili ' } ],27
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",en,The Empire Strikes Back,1980-05-17,The Empire Strikes Back,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 878 'name ' 'scienc fiction ' } ],28
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",en,Raiders of the Lost Ark,1981-06-12,Raiders of the Lost Ark,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } ],29
"[{'id': 37, 'name': 'Western'}]",it,"Il buono, il brutto, il cattivo",1966-12-23,"The Good, the Bad and the Ugly",False,[ { 'id ' 37 'name ' 'western ' } ],30
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",en,Return of the Jedi,1983-05-23,Return of the Jedi,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 878 'name ' 'scienc fiction ' } ],31
"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",en,Alien,1979-05-25,Alien,False,[ { 'id ' 27 'name ' 'horror ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } { 'id ' 878 'name ' 'scienc fiction ' } ],32
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",en,The Terminator,1984-10-26,The Terminator,False,[ { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } { 'id ' 878 'name ' 'scienc fiction ' } ],33
"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",en,Back to the Future,1985-07-03,Back to the Future,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 35 'name ' 'comedi ' } { 'id ' 878 'name ' 'scienc fiction ' } { 'id ' 10751 'name ' 'famili ' } ],34
"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}]",en,Fantasia,1940-11-13,Fantasia,False,[ { 'id ' 16 'name ' 'anim ' } { 'id ' 10751 'name ' 'famili ' } { 'id ' 10402 'name ' 'music ' } ],35
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",en,Indiana Jones and the Last Crusade,1989-05-24,Indiana Jones and the Last Crusade,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } ],36
"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",en,Star Trek: First Contact,1996-11-21,Star Trek: First Contact,False,[ { 'id ' 878 'name ' 'scienc fiction ' } { 'id ' 28 'name ' 'action ' } { 'id ' 12 'name ' 'adventur ' } { 'id ' 53 'name ' 'thriller ' } ],37
"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",en,Jaws,1975-06-18,Jaws,False,[ { 'id ' 27 'name ' 'horror ' } { 'id ' 53 'name ' 'thriller ' } { 'id ' 12 'name ' 'adventur ' } ],38
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",en,Men in Black,1997-07-02,Men in Black,False,[ { 'id ' 28 'name ' 'action ' } { 'id ' 12 'name ' 'adventur ' } { 'id ' 35 'name ' 'comedi ' } { 'id ' 878 'name ' 'scienc fiction ' } ],39
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",en,The Hunt for Red October,1990-03-02,The Hunt for Red October,False,[ { 'id ' 28 'name ' 'action ' } { 'id ' 12 'name ' 'adventur ' } { 'id ' 53 'name ' 'thriller ' } ],40
"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,Home Alone 3,1997-12-12,Home Alone 3,False,[ { 'id ' 35 'name ' 'comedi ' } { 'id ' 10751 'name ' 'famili ' } ],41
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,Tomorrow Never Dies,1997-12-11,Tomorrow Never Dies,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } ],42
"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,Halloween,1978-10-25,Halloween,False,[ { 'id ' 27 'name ' 'horror ' } { 'id ' 53 'name ' 'thriller ' } ],43
"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,Halloween II,1981-10-30,Halloween II,False,[ { 'id ' 27 'name ' 'horror ' } { 'id ' 53 'name ' 'thriller ' } ],44
"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,The Exorcist,1973-12-26,The Exorcist,False,[ { 'id ' 18 'name ' 'drama ' } { 'id ' 27 'name ' 'horror ' } { 'id ' 53 'name ' 'thriller ' } ],45
"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",en,Back to the Future Part II,1989-11-20,Back to the Future Part II,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 35 'name ' 'comedi ' } { 'id ' 10751 'name ' 'famili ' } { 'id ' 878 'name ' 'scienc fiction ' } ],46
"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",en,Back to the Future Part III,1990-05-25,Back to the Future Part III,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 35 'name ' 'comedi ' } { 'id ' 10751 'name ' 'famili ' } { 'id ' 878 'name ' 'scienc fiction ' } ],47
"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,Bambi,1942-08-14,Bambi,False,[ { 'id ' 16 'name ' 'anim ' } { 'id ' 18 'name ' 'drama ' } { 'id ' 10751 'name ' 'famili ' } ],48
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,The Godfather: Part III,1990-12-24,The Godfather: Part III,False,[ { 'id ' 80 'name ' 'crime ' } { 'id ' 18 'name ' 'drama ' } { 'id ' 53 'name ' 'thriller ' } ],49
"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",en,The Jungle Book,1967-10-17,The Jungle Book,False,[ { 'id ' 10751 'name ' 'famili ' } { 'id ' 16 'name ' 'anim ' } { 'id ' 12 'name ' 'adventur ' } ],50
"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,One Hundred and One Dalmatians,1961-01-25,One Hundred and One Dalmatians,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 16 'name ' 'anim ' } { 'id ' 35 'name ' 'comedi ' } { 'id ' 10751 'name ' 'famili ' } ],51
"[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10749, 'name': 'Romance'}]",en,The Return of Jafar,1994-12-15,The Return of Jafar,False,[ { 'id ' 10751 'name ' 'famili ' } { 'id ' 12 'name ' 'adventur ' } { 'id ' 16 'name ' 'anim ' } { 'id ' 10749 'name ' 'romanc ' } ],52
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",en,Indiana Jones and the Temple of Doom,1984-05-23,Indiana Jones and the Temple of Doom,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } ],53
"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",en,Blade,1998-08-21,Blade,False,[ { 'id ' 27 'name ' 'horror ' } { 'id ' 28 'name ' 'action ' } ],54
"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",en,The Thing,1982-06-25,The Thing,False,[ { 'id ' 27 'name ' 'horror ' } { 'id ' 9648 'name ' 'mysteri ' } { 'id ' 878 'name ' 'scienc fiction ' } ],55
"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,Vampires,1998-04-15,Vampires,False,[ { 'id ' 28 'name ' 'action ' } { 'id ' 18 'name ' 'drama ' } { 'id ' 14 'name ' 'fantasi ' } { 'id ' 27 'name ' 'horror ' } { 'id ' 53 'name ' 'thriller ' } ],56
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,A View to a Kill,1985-05-24,A View to a Kill,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } ],57
"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",en,Planet of the Apes,1968-02-07,Planet of the Apes,False,[ { 'id ' 878 'name ' 'scienc fiction ' } { 'id ' 12 'name ' 'adventur ' } { 'id ' 18 'name ' 'drama ' } { 'id ' 28 'name ' 'action ' } ],58
"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",en,The Matrix,1999-03-30,The Matrix,False,[ { 'id ' 28 'name ' 'action ' } { 'id ' 878 'name ' 'scienc fiction ' } ],59
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",en,The Mummy,1999-04-16,The Mummy,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 14 'name ' 'fantasi ' } ],60
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",en,Star Wars: Episode I - The Phantom Menace,1999-05-19,Star Wars: Episode I - The Phantom Menace,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 878 'name ' 'scienc fiction ' } ],61
"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10402, 'name': 'Music'}, {'id': 878, 'name': 'Science Fiction'}]",en,The Rocky Horror Picture Show,1975-08-14,The Rocky Horror Picture Show,False,[ { 'id ' 35 'name ' 'comedi ' } { 'id ' 27 'name ' 'horror ' } { 'id ' 10402 'name ' 'music ' } { 'id ' 878 'name ' 'scienc fiction ' } ],62
"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,Tarzan,1999-06-18,Tarzan,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 16 'name ' 'anim ' } { 'id ' 18 'name ' 'drama ' } { 'id ' 10751 'name ' 'famili ' } ],63
"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",en,The Blair Witch Project,1999-07-14,The Blair Witch Project,False,[ { 'id ' 27 'name ' 'horror ' } { 'id ' 9648 'name ' 'mysteri ' } ],64
"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",en,Ghostbusters,1984-06-07,Ghostbusters,False,[ { 'id ' 35 'name ' 'comedi ' } { 'id ' 14 'name ' 'fantasi ' } ],65
"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",en,Phantasm,1979-03-28,Phantasm,False,[ { 'id ' 27 'name ' 'horror ' } { 'id ' 878 'name ' 'scienc fiction ' } ],66
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,Goldfinger,1964-09-17,Goldfinger,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } ],67
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",en,From Russia with Love,1963-10-11,From Russia with Love,False,[ { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } { 'id ' 12 'name ' 'adventur ' } ],68
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,Dr. No,1962-10-04,Dr. No,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } ],69
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,For Your Eyes Only,1981-06-23,For Your Eyes Only,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } ],70
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,Licence to Kill,1989-07-07,Licence to Kill,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } ],71
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,Live and Let Die,1973-07-05,Live and Let Die,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } ],72
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,Thunderball,1965-12-16,Thunderball,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } ],73
"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",en,Bride of Re-Animator,1989-10-01,Bride of Re-Animator,False,[ { 'id ' 35 'name ' 'comedi ' } { 'id ' 27 'name ' 'horror ' } { 'id ' 878 'name ' 'scienc fiction ' } ],74
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,The World Is Not Enough,1999-11-08,The World Is Not Enough,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } ],75
"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,Toy Story 2,1999-10-30,Toy Story 2,False,[ { 'id ' 16 'name ' 'anim ' } { 'id ' 35 'name ' 'comedi ' } { 'id ' 10751 'name ' 'famili ' } ],76
"[{'id': 18, 'name': 'Drama'}]",en,The Last Picture Show,1971-10-03,The Last Picture Show,False,[ { 'id ' 18 'name ' 'drama ' } ],77
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",en,The Boondock Saints,1999-01-22,The Boondock Saints,False,[ { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } { 'id ' 80 'name ' 'crime ' } ],78
"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",en,Pitch Black,2000-02-18,Pitch Black,False,[ { 'id ' 53 'name ' 'thriller ' } { 'id ' 878 'name ' 'scienc fiction ' } { 'id ' 28 'name ' 'action ' } ],79
"[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",en,The Flintstones in Viva Rock Vegas,2000-04-28,The Flintstones in Viva Rock Vegas,False,[ { 'id ' 878 'name ' 'scienc fiction ' } { 'id ' 35 'name ' 'comedi ' } { 'id ' 10751 'name ' 'famili ' } { 'id ' 10749 'name ' 'romanc ' } ],80
"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,The Hidden,1987-10-30,The Hidden,False,[ { 'id ' 28 'name ' 'action ' } { 'id ' 27 'name ' 'horror ' } { 'id ' 878 'name ' 'scienc fiction ' } { 'id ' 53 'name ' 'thriller ' } ],81
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,Mission: Impossible II,2000-05-24,Mission: Impossible II,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } ],82
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,On Her Majesty's Secret Service,1969-12-12,On Her Majesty's Secret Service,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } ],83
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,The Spy Who Loved Me,1977-07-07,The Spy Who Loved Me,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } ],84
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",en,Moonraker,1979-06-26,Moonraker,False,[ { 'id ' 28 'name ' 'action ' } { 'id ' 12 'name ' 'adventur ' } { 'id ' 53 'name ' 'thriller ' } { 'id ' 878 'name ' 'scienc fiction ' } ],85
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,The Man with the Golden Gun,1974-12-01,The Man with the Golden Gun,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 28 'name ' 'action ' } { 'id ' 53 'name ' 'thriller ' } ],86
"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",ja,劇場版ポケットモンスター 幻のポケモン ルギア爆誕,1999-07-17,Pokémon: The Movie 2000,False,[ { 'id ' 12 'name ' 'adventur ' } { 'id ' 14 'name ' 'fantasi ' } { 'id ' 16 'name ' 'anim ' } { 'id ' 878 'name ' 'scienc fiction ' } { 'id ' 10751 'name ' 'famili ' } ],87
